	individual	replicate	well	batch	sample_id
272	NA19101	r2	E06	NA19101.r2	NA19101.r2.E06
273	NA19101	r2	E07	NA19101.r2	NA19101.r2.E07
274	NA19101	r2	E09	NA19101.r2	NA19101.r2.E09
275	NA19101	r2	E10	NA19101.r2	NA19101.r2.E10
276	NA19101	r2	E11	NA19101.r2	NA19101.r2.E11
277	NA19101	r2	E12	NA19101.r2	NA19101.r2.E12
278	NA19101	r2	F01	NA19101.r2	NA19101.r2.F01
279	NA19101	r2	F03	NA19101.r2	NA19101.r2.F03
280	NA19101	r2	F04	NA19101.r2	NA19101.r2.F04
281	NA19101	r2	F06	NA19101.r2	NA19101.r2.F06
282	NA19101	r2	F07	NA19101.r2	NA19101.r2.F07
283	NA19101	r2	F08	NA19101.r2	NA19101.r2.F08
284	NA19101	r2	F09	NA19101.r2	NA19101.r2.F09
285	NA19101	r2	F12	NA19101.r2	NA19101.r2.F12
286	NA19101	r2	G01	NA19101.r2	NA19101.r2.G01
287	NA19101	r2	G02	NA19101.r2	NA19101.r2.G02
288	NA19101	r2	G03	NA19101.r2	NA19101.r2.G03
289	NA19101	r2	G04	NA19101.r2	NA19101.r2.G04
290	NA19101	r2	G05	NA19101.r2	NA19101.r2.G05
291	NA19101	r2	G07	NA19101.r2	NA19101.r2.G07
292	NA19101	r2	G08	NA19101.r2	NA19101.r2.G08
293	NA19101	r2	G09	NA19101.r2	NA19101.r2.G09
294	NA19101	r2	G12	NA19101.r2	NA19101.r2.G12
295	NA19101	r2	H01	NA19101.r2	NA19101.r2.H01
296	NA19101	r2	H02	NA19101.r2	NA19101.r2.H02
297	NA19101	r2	H03	NA19101.r2	NA19101.r2.H03
298	NA19101	r2	H05	NA19101.r2	NA19101.r2.H05
299	NA19101	r2	H06	NA19101.r2	NA19101.r2.H06
300	NA19101	r2	H07	NA19101.r2	NA19101.r2.H07
301	NA19101	r2	H08	NA19101.r2	NA19101.r2.H08
302	NA19101	r2	H09	NA19101.r2	NA19101.r2.H09
303	NA19101	r3	A06	NA19101.r3	NA19101.r3.A06
304	NA19101	r3	A07	NA19101.r3	NA19101.r3.A07
305	NA19101	r3	A10	NA19101.r3	NA19101.r3.A10
306	NA19101	r3	A12	NA19101.r3	NA19101.r3.A12
307	NA19101	r3	B01	NA19101.r3	NA19101.r3.B01
308	NA19101	r3	B02	NA19101.r3	NA19101.r3.B02
309	NA19101	r3	B06	NA19101.r3	NA19101.r3.B06
310	NA19101	r3	B07	NA19101.r3	NA19101.r3.B07
311	NA19101	r3	B08	NA19101.r3	NA19101.r3.B08
312	NA19101	r3	B09	NA19101.r3	NA19101.r3.B09
313	NA19101	r3	B10	NA19101.r3	NA19101.r3.B10
314	NA19101	r3	B11	NA19101.r3	NA19101.r3.B11
315	NA19101	r3	B12	NA19101.r3	NA19101.r3.B12
316	NA19101	r3	C03	NA19101.r3	NA19101.r3.C03
317	NA19101	r3	C04	NA19101.r3	NA19101.r3.C04
318	NA19101	r3	C05	NA19101.r3	NA19101.r3.C05
319	NA19101	r3	C06	NA19101.r3	NA19101.r3.C06
320	NA19101	r3	C07	NA19101.r3	NA19101.r3.C07
321	NA19101	r3	C08	NA19101.r3	NA19101.r3.C08
