NA19098	NA19101	NA19239
ZNF737	DRAM1	CHMP4A
NRF1	MSRB2	PDCD10
CLDN3	CSDE1	PPP1CC
TMEM107	MPLKIP	ARL15
SFXN4	OGT	ZNF101
MTFP1	SLC26A6	ABCB7
TPD52L1	DFNA5	FKBP1B
ESCO2	SH3GL2	NPR1
ATXN1L	ANKRD29	XPOT
KRT19	SPAG16	SPTBN1
C6orf136	TTLL1	IGHMBP2
BANP	EPCAM	POFUT2
RPUSD3	PITPNC1	FBN3
DDX25	ZNF423	GFOD1
MFSD11	SEL1L3	RGS2
POLR2F	FAM207A	CCT5
OSTF1	PANK4	CDKN1A
CDH11	RPL41	YLPM1
C18orf25	CALHM2	GALK2
CYBA	SDCCAG3	IPO13
SEPHS2	NME7	RSRC1
SPTLC2	SLC12A7	ARHGAP28
H3F3B	NUMB	CECR5
COMMD5	VPRBP	EDRF1
NOTCH2NL	MTRNR2L3	DSN1
PTCD3	GTPBP6	FAN1
IQCB1	CYB5A	SRA1
RNF138	GPS1	PTRH2
PRCC	ROCK2	GPR27
ZNF821	C7orf73	RPS20
PRKD1	C9orf41	PRNP
STMN2	PLEKHO2	USP49
LSM4	TRIM14	SPIN2B
PDE7A	CLINT1	CADM4
MED10	KCNK6	WDR83OS
ZSCAN25	ABCB7	TVP23C
USP7	SOCS2	IFI27L1
CCNE2	TMLHE	DHX29
ARMC9	PDCD4	PLEKHG2
KCTD14	NPR1	CAMK4
ELMSAN1	DVL1	MDN1
CYB561D2	ECE1	ARF6
SSBP3	RPUSD4	PCNP
ANKRD10	ARC	SMIM8
KIAA1841	NAPRT1	CCDC88A
VHL	PRR12	L3MBTL3
GYG2	LYPD6	CD276
AP1G2	ELOVL1	HDHD1
PCYOX1L	IMPA2	MYLK
ATP9B	RNF122	CCP110
ZNF263	CAMSAP3	ROBO2
YWHAZ	COG8	LAMC1
CUL3	NHP2L1	MALT1
DOLK	LCMT2	SMG6
ENTHD2	UBE2NL	KIF20A
EWSR1	WDR53	SOD2
YTHDF1	TMEM99	NFE2L1
CNN3	ATXN3	FAM72B
CWF19L1	ADI1	ARMC9
GTF3C5	PDCD10	RBM43
ZNF385A	LGALS8	RMDN1
SHF	GALNT10	PTPN4
VRTN	NINL	MAP2
KNTC1	ZNF814	KPNB1
VARS2	UBXN1	PM20D2
DLGAP3	VMP1	CSAD
KIAA1143	PCMTD2	DESI2
FAM63B	NOL10	EXOSC9
GPS1	PANK3	PHLPP1
XRCC6	HSDL1	TMEM141
AKAP13	ENC1	MT-ND4L
RBMX2	MED12L	CYP2R1
SCOC	MPRIP	LDB2
TASP1	LSM4	CXXC1
CERS1	CDV3	SPTAN1
KBTBD3	MARCKSL1	ORC2
HPS6	MED30	DGKD
TMTC1	THAP11	TESC
ABCG1	METTL3	GPATCH1
ZCCHC17	HEMK1	KLHL23
GPX8	RAP1GAP2	CHMP5
ACTG1	GMIP	FAH
ZNF322	AMN1	WDR53
CELF2	YOD1	FKBP1A
DCHS1	C9orf40	DBF4B
DDX31	SNTB2	CLMP
MT1X	EDIL3	NBEAL1
ZNF512	RBM12B	CALHM2
SORBS1	ARMC6	ZNF239
EML4	CLSTN1	FARP2
MPRIP	OGG1	AP5S1
APITD1	ZMAT2	WTIP
XPR1	UTP6	RPS26
KLHL12	SHPRH	TIGD2
KLF12	GSK3B	NUP93
MIB1	PLXNC1	NDUFC2
EFNB2	APOPT1	ARL1
PRKACB	EPHX3	RAB5B
SETD8	NDUFA5	FBXO16
ISOC1	PPP1R15B	PRTG
ACTR1A	CCNT2	MRPS10
ZNF569	HDAC8	NSUN4
AIMP2	ATP6V1E1	CKS1B
NAGA	NDUFAF5	TM7SF3
POLK	MPV17	ZNF846
CASKIN2	MAP4K5	SPIN1
ZFP62	TMEM38B	EIF3K
KIF18A	MEX3D	ST6GALNAC6
ZNF165	PSMB2	CRAMP1L
ZNF217	GAREM	SAYSD1
ZNF839	ZNF329	AFMID
ITGB1	YBX3	ARFGEF1
GSKIP	CDK18	PHF20
PDLIM7	MAP2K6	GPX8
WDR37	SNAPC2	ZNF337
SHROOM2	USP13	PIK3R1
EVL	LINGO1	ZNF638
FOXRED2	PLXNB1	ZNF664
VAMP8	IDI1	EXOSC7
MTRNR2L9	ITM2A	RHOBTB1
FAHD1	ITIH5	IKZF5
POLR2C	PCED1A	SENP6
COG2	SLC7A8	DNAJC10
MTDH	DPPA4	C8orf82
KIAA0319L	BLCAP	HIPK3
C6orf57	TPM3	KRBA2
AHCY	CADM1	KEAP1
DOLPP1	ZNF169	NACC2
RLF	TM9SF2	KIAA2026
SLC41A3	RPL7	SPRYD4
LAMTOR4	SRSF12	ATRAID
BEX2	ATG16L1	TUBGCP2
DDX27	FMNL3	C9orf91
CD63	PDGFA	ITPK1
FHOD3	DTX2	XRCC3
XYLT1	PKD2	UBE2D1
CDCP1	PPHLN1	BCL11B
PHF8	IER2	SF3B1
AP5S1	PPP1R21	FAM213A
PTGES3	SLC9A6	MRPL11
BCL9L	MRPL36	BRD4
CMC1	SRC	ARL2BP
STIM1	LZTR1	PTPMT1
RAB3B	CKAP5	HEG1
RIOK3	CDK16	HIST2H4B
NT5C3A	MGME1	FAM63B
RPL38	DNAJB6	TTI1
TRAF3IP2	ARHGEF16	PFKP
NSMCE4A	ATP6V0E1	CLUAP1
SMG8	TMEM126A	SLC39A6
KLF3	PPP2R5D	PRDX2
CDV3	ACBD6	SEL1L3
GCFC2	MCM9	C1orf54
ACACB	MAPKAPK3	FBLN1
POLR2A	METTL8	RWDD3
