NA19098	NA19101	NA19239
WDFY1	TGFBR1	PIAS2
SUMO3	C5orf24	SPARC
PTPN6	ATF7IP2	CKMT1A
SFRP2	PCDHB2	KDSR
DNAJB6	ZNF197	TMA7
TCEA2	TRMT13	LIMD1
MCM9	ZBTB5	NDUFAF3
APAF1	GTF3C3	FAM122A
MIPEP	LPL	NTM
C22orf39	RGL2	RABL2A
PDCD6	RPL18	EBNA1BP2
ZNF880	ADAM22	LRCH4
CHRNA7	FAR1	ZNF689
C3orf33	STRN3	AGPS
RUFY1	RPN1	AGPAT4
TNRC6A	DPYSL4	TFDP2
SPARC	NMD3	XKR6
LYST	B4GALT7	MBD3
JAM3	MICAL3	SDE2
E2F6	CNOT1	NAP1L1
NNT	SCUBE1	GK5
MRPS9	ZNF394	CACUL1
THRAP3	CISD1	RBM5
S100A4	XPO6	EXOC4
CDC5L	GLIS2	DCAKD
NEIL3	ERCC6L	TOMM5
ZDHHC7	KPNB1	ACAP1
RNF24	CCDC171	FKTN
CENPN	C8orf82	KRT19
AXIN1	SPARC	TRO
TBCCD1	WDFY1	MED15
MAPKAPK5	FAM189B	NIN
NENF	PDIA3	CHMP1A
BCAS2	CCDC58	SCRN2
CCDC18	R3HDM2	ZNF701
MAPK8IP1	CLN6	KIF1C
EIF5B	RPA2	CBLB
PDE6B	HSPA1A	BEX1
SSRP1	SLC25A6	MCAM
EPS8L1	DDB1	PHYHD1
MAP7	COG4	CEP57L1
GAS1	MST4	PTPLA
UBE2W	NUDT16	ATL3
MT-ND6	HTATIP2	TMEM219
PPP2R2A	PHC2	NUCKS1
CRYGD	ZSCAN18	TMEM59L
MEST	EMC6	MTIF3
FADD	C8orf33	RND3
TMEM184C	ABLIM1	VTA1
SOX11	GSK3A	CAND1
STK25	KLK10	TRAM1
DDX41	EXOC8	SLC35A3
FAM49B	FYN	BMS1
CDK2AP1	LRRC57	GIGYF2
POMT1	EPS15L1	MAPK10
CDK2	C14orf37	CDKN2AIP
DUSP11	TSEN2	LAPTM4A
DIP2C	SF3A2	PINK1
SPG21	SLC18B1	KHSRP
COG8	HERC2	RPS23
TMEM45A	VPS37B	POLG
TNIP2	NUCB1	ATXN7L1
AIF1L	WIBG	ECE1
TRABD2A	ORAOV1	CLCC1
SKA1	NPIPA7	PRPF4B
LRRC34	PTDSS2	PARVA
C19orf53	SRD5A3	MEST
KAZN	HDGFRP2	SLC29A2
MTHFS	ZNF587	SLC4A7
EMC1	PLEKHA6	MTURN
RNF103	UTRN	VAMP3
ANP32A	CACNA1H	ADNP2
KCTD2	GABPB2	RNF19B
CHTF8	SQSTM1	TSFM
SNX16	SEC63	MRPS12
MOAP1	TBCCD1	NCL
EPHX2	ICK	BOD1L1
ADNP	DGCR6L	SOX4
MRPL18	UQCRC1	STON1
RBM12B	EFTUD2	RHOB
RYK	SH3BP4	SLC25A40
GPT2	ARAP3	PGM3
TRUB1	UBB	PITRM1
DUS1L	NBPF3	ADCY1
TRMT1L	MAGI3	FAR2
LPGAT1	DNAJA1	OCRL
SMAD2	FAM206A	SARDH
CSNK1G3	MAP3K3	TOE1
RRP9	THBS2	RNF175
METTL16	MMD	ZSCAN16
TDRKH	OPTC	GRM3
EID2	CDK12	KIAA1429
MAP7D1	C14orf1	RIMS4
LRRTM4	ZNF510	A1BG
BEND5	WASF1	PDE12
CPSF6	CHFR	CYP20A1
FAT3	PTPN18	MYH9
CKMT1A	UBA1	DNPEP
SFSWAP	CECR2	PECR
UBXN2A	TSEN54	FAT1
SRRM1	BEX2	ZNF226
CADPS2	ZNF704	C19orf54
KIAA1731	FAM195A	IPMK
HNRNPK	WDR61	SPCS2
ABI1	ZNF697	KCNT2
DVL1	EXOC1	MMS22L
MCPH1	AGBL3	TMEM260
IGF2R	SLC43A2	TXN2
AMT	AHSA2	SH3BP5
TAF9	HELLS	ANKRD12
SRA1	LHFPL2	NAPA
TMEM41A	ZNF839	RPRD1B
DOCK4	ARG2	RAB8A
LYN	CKAP4	GLUL
FBXW5	ZSCAN16	MOCOS
MOCS1	FKBP8	GALNT7
SMARCB1	MSI1	COPS6
NMT1	DUSP3	TMEM50A
BCAP31	SPATS2L	OFD1
NKAIN1	AGPAT5	SLC37A1
MYO18A	SPTLC2	DDX10
GZF1	ASB13	ZNF76
PTRF	SERINC5	RC3H2
ATP8A1	BCL2L13	STAMBP
NCOA4	DTWD1	WARS2
C5orf15	EIF3C	ADAMTS12
SIKE1	THBS4	FBXO22
KIAA0100	PSAT1	URI1
PCGF2	MSH2	WDR13
NLGN3	SH3PXD2B	SH3GLB2
LSM1	KIAA0907	CNKSR2
APBB1	CTDSP2	C11orf83
ZNF720	C11orf83	PODXL
COPE	LRRC20	KIAA1598
IQCA1	SLC6A6	PPIG
GCH1	SDC1	FABP5
DUSP7	RNF135	ABCF1
LIN7A	CCKBR	FEM1A
SHPK	KANSL1	TMEM127
ABHD17C	ZNF277	PKMYT1
SRRT	PPP5C	NAPRT1
OCIAD2	TIMP2	TGIF2
ZC3H3	KIT	ZNF281
NOC3L	MAPK12	ALKBH5
C6orf106	ZNF208	MRPL22
YEATS4	TCTN3	TERF2IP
HLCS	FAM160A2	OSBPL9
PDAP1	TCAIM	KIAA0754
RAB6C	HIST1H2AH	DCXR
FAM118B	KEAP1	CDC40
C6orf132	TMEM14C	SERINC1
SSR3	HMGB1	NUDT14
HLA-A	SPCS2	USB1
ARHGAP17	HDAC2	C7orf60
AJUBA	RAD23B	RPS3
GMPR2	ZFYVE26	MEF2A
GSTO1	GPR160	LPCAT3
BACE1	ASPM	STARD3NL
AZI2	PWWP2A	PTP4A1
AACS	H2AFY2	PDIA3
TRPM7	RAMP2	ZNF273
RPP38	CHML	OCEL1
TRAF4	C1orf210	RIMKLB
PAPSS1	TADA1	EIF3I
PPIL4	SLC4A11	COX16
PPM1F	SKAP2	UBQLN4
CUL4B	FAM105B	GSTZ1
PLEKHM2	SLC25A38	C14orf2
ZNF846	SPIDR	TSPYL2
SIAH1	DZIP3	TMCO1
ORMDL1	PLEKHO1	MRPL51
CCRN4L	CELF5	KIF2A
KIF1B	RBM15B	LRRC57
USP9X	H2AFZ	PPP4R1
ITM2C	SLC39A10	HP1BP3
ELK3	THOC7	DDAH1
LYPD3	ZDHHC4	ZNF420
SH3BGRL2	AIDA	C14orf132
SEPHS1	SHC1	ID2
NCK1	TAF11	ATP9B
G3BP2	SIVA1	PPM1A
CADM2	DENND5B	RALB
RAD23B	HBS1L	SYT14
NETO2	MTSS1	MAST4
MCM7	SLC25A29	INHBA
RNF135	DDT	DCLRE1B
NGDN	PPP2CA	GPSM2
ME1	DNAJC7	RASAL2
CDK5	NPIPA7	ZNF771
CTNNA1	ZNF418	ANKRD36C
TRPC4	PPIP5K1	PLEKHH1
POLQ	MRPL14	CELF5
FAM104B	ABT1	POLG2
LSM10	TRIM71	KIF3A
ZNF711	NPTX2	SYNGR2
EDIL3	PTTG2	PGM2
FAM195A	AATF	ERI3
PPP1R12C	JADE1	IFT88
NUDT2	SEC61A1	ZNF674
SHMT2	ARL14EP	CAMSAP2
EYA3	SEPT9	FAM155B
SEC62	NCAPD2	VPS16
EIF3F	NUP88	PRKD1
PRKDC	FAM229B	NCK2
CCS	NEK6	MTPAP
SLC31A1	BNIP3	TMEM179B
SOX2	ATM	RASSF7
RNF26	TCF20	MKKS
KIAA1467	PPP2R5E	ZBTB4
SALL4	KIAA1841	MMP17
RUVBL2	RNF139	CPSF2
NRXN1	ATP6V1D	POMGNT2
AGPAT6	TFPT	C11orf73
FAM63A	CRELD2	TMEM256
BRCA2	SLC2A13	MRPS2
VPS4B	MAD2L1BP	SUV420H1
SARS	ELP4	POFUT1
NSUN7	ZSWIM6	FZD2
TRAP1	RNPS1	KLHL36
METTL21A	FAM171B	IGF2R
SLC35A4	NICN1	INPP5B
ZNF891	EEF2	XRCC6BP1
GLE1	KLF12	COTL1
GRIK5	GOLGA8B	ZNF257
COX7A2L	GPRASP2	SLC2A10
CTDSPL	CSK	RFX7
ZC3H10	SNRNP25	UBE2T
TMEM108	DHX9	LRCH2
ATG13	KLRG1	ZNF304
TTI1	ZFR	TUBB4A
TMEM170B	UTP23	RBM3
F2R	TMTC3	FEZF1
KIAA0141	BACE1	DDIT4
SCAMP4	PGAM1	MLLT11
TULP3	FGF11	OSTM1
CLCC1	VAV3	KIF21B
POTEF	EXOG	SULT1A1
LRBA	SEMA6A	ZNF318
TOE1	HEXA	NUP85
SACS	DCAF7	RNF146
TBC1D23	NDUFC1	GBF1
NUDT22	HBP1	ELMO2
GATC	JAKMIP2	WBP1
LSM5	DDX39B	PIGH
CPVL	PARP1	IGSF9
PLD2	GRIN2B	NES
VEPH1	NFATC2IP	AREL1
SCAI	YPEL5	CENPL
ETF1	PRDM5	PDXK
MTHFD1L	PDE7A	CDC42BPB
NCAPD3	ITGA2	EPB41
SPR	C12orf57	SLC25A3
EXOC5	NADK	CDC34
SCD	TIGD2	PPOX
SNN	LIAS	TMEM167A
ZNF654	ZNF605	UNC119B
IER3IP1	MAP9	FRY
THBS1	ZNF622	BRI3
TSPAN14	DPP8	TRIM36
LIAS	PIGK	CDH11
DHRS11	ATF6	GALNT13
ZNF671	RPS27A	DNAAF2
PLEKHA8	MRPS31	DBI
NPIPB5	PRADC1	FAM32A
SMC5	LYSMD1	TMEM47
BRAF	C1orf54	KCTD17
SLC19A1	ZFYVE19	WDR82
POLG	TAF1A	BCOR
GAR1	YIPF3	STYXL1
ZNF626	RNASEH2A	EBP
PUS7	RPSA	PHLPP2
PGRMC2	ZSCAN30	ACSL3
ATP6V1C1	AP5M1	GOLGA3
FEM1B	SNX7	SAT2
EAF2	DUSP2	PSMG4
UBAP1	PRKAG2	RALGAPB
TRIM44	LIG3	TUFM
OTUD7B	RNF19A	CGRRF1
ABCF3	C19orf81	TLE3
DEPDC7	TDGF1	KCTD12
QPRT	TNNC2	NOL7
CTSA	PNKP	AZIN1
MIF4GD	C17orf89	SDC1
PGP	BCKDHB	RBM8A
NPIPA8	TMEM66	LRRC8D
GSDMD	SKIV2L2	AIF1L
C19orf81	APMAP	C5orf34
ZNF57	UBE2M	MFSD12
PCNXL3	BTF3L4	PTK2
PRKRA	KANSL3	ZNF107
NRDE2	POU5F1	RPLP1
POMGNT2	MED28	E2F7
GOPC	ELOVL4	RYR2
OST4	TRAPPC12	TAF6L
FBXO3	NDUFA8	CCDC94
GBA	PTGES2	WDR62
DBNDD2	DAG1	SAR1A
CREBL2	LRRTM4	CCDC120
SH3PXD2A	ANKRD12	SNTG2
ARNT2	PPP1R8	NUMB
CCDC69	YAE1D1	LPGAT1
LRRC37A	ATP5H	TMEM206
STX4	SMCO4	TMED2
PRKAR1A	UHRF2	ZNF426
WDPCP	SCN9A	NFIL3
JUP	LIN52	ADCY5
ATP6V1H	TCEANC2	NRD1
ZBTB21	COASY	C16orf54
RAB17	ASXL2	ARVCF
GNG7	GAK	CEP55
TNIP1	BDH2	ZC3HC1
HTRA1	RAB11A	TRIM22
B3GALNT1	SIK2	BEND5
MIB2	PDGFRB	NSMCE2
KLHL23	CNST	KIF11
RHOF	TROVE2	CLSTN3
DNAL1	FCHO1	SERGEF
TWF1	MMS19	RAB3C
GLI1	STXBP2	ESYT2
EXOSC4	L1TD1	COPG1
GNAZ	ADCK4	C1QBP
C21orf33	PNISR	FBXL6
UNC119B	FZD3	TET1
BTBD7	NSG1	CEP72
GPBP1L1	TMEM183A	SRI
HTR3A	NF1	R3HCC1L
MOV10	EPHA2	GRPEL1
SMUG1	CRYAB	TAPBP
SH3D19	CAP2	FAM45A
ACADM	SFRP1	IGF2BP3
GRB7	SMIM7	CRHR1
IPO9	ADCY2	NPIPA7
COA3	SMG9	DSC2
HNRNPR	SPG20	ANAPC5
RAP1GDS1	DCLRE1B	NR3C1
ZNF462	SEMA6C	HIST1H2BJ
DYDC2	NKAIN4	PTRHD1
STAT2	PPIA	RAP1GAP2
DHRS4	SLAIN2	IL4R
DAB2	CDON	RAB30
ZNHIT1	RNF138	HIGD2A
ZNF28	MPST	MPP5
DDX54	TBCE	TEX2
FZD7	MAP4K1	ITPR3
SLC25A29	SH2B1	MIA3
GLI3	COX6A1P2	TMEM129
WIPF3	ESYT2	PRKACB
SLC11A2	RIMKLA	MAVS
HIST2H2BE	ARHGAP12	BNIP1
TPP2	UBE2A	SPIB
ZNF354A	COL4A2	RPL28
CDK3	FGFR1	DDX50
C3orf38	RANBP2	GAK
TANK	HINT2	ACADVL
IRF2BPL	NXPE3	CYSTM1
TJP1	NCOA1	SACS
USP10	DENND1B	ZFYVE26
RWDD1	FASTKD1	KLC2
C1orf174	ZNF846	BEX2
CBL	MTO1	ZNF138
CDC42SE2	SCNM1	POLD2
STAMBPL1	FUS	PACS1
SSH2	PRPS1	PPAT
PSMA1	RBX1	DDHD1
TRERF1	MFF	AGPAT1
CCDC115	BRK1	VAC14
ZNF14	CBLL1	PTGIS
CCDC71	PCYOX1	SALL4
ANKIB1	NOMO3	PIK3R3
ULK4	NUTF2	ELAVL1
COA4	LAMTOR3	SIPA1L2
PSMG1	IL17RD	CUTC
PSMD6	ENPP5	TMEM43
CGN	MARK1	UNC13D
DLGAP1	PLEKHG6	MARCH8
MRI1	DSP	NDE1
RNF213	DSE	NSF
PPP1R15B	MTMR2	NDUFS6
CD55	THBS3	RPS17L
MYO6	PSAP	TTLL4
LPAR3	SEMA5A	CCDC25
PMS2	NSUN5	ZMAT5
MAPK7	TMX3	CCNJ
PTPN9	PIGM	SGOL1
YAE1D1	TMEM160	GPATCH2L
NOP16	KIF23	AL592284.1
ZBED3	SNRNP200	LONP2
UXT	ACAD8	ASPHD2
CELSR3	EDNRB	AFTPH
TPM2	MLLT10	SLC25A24
WHSC1	C1orf94	SOX3
CWC15	TMEM69	IK
TECR	MOV10	ZNF232
IGDCC3	CEPT1	LATS1
LRRFIP2	DNAJB11	ELOVL7
PIH1D1	CDC14B	CLN6
PSMG2	GRB10	GALNT10
PML	ANXA3	C6orf89
WDR54	EYA3	LRRIQ1
TMEM19	PXN	TMA16
ARPC4	PCF11	DPYSL5
CFDP1	SPAG7	JMJD4
GNAI1	SHANK2	ISCA1
STOM	ZNF200	AXL
RANGAP1	RPS26	ZBTB2
TRIO	EIF2AK2	ELL2
CIAO1	SEC24C	EIF2D
MRPS33	HAUS1	MCM2
CSNK2B	HIST1H4I	KIAA0355
EXO5	PRIM1	ZNF286B
CISD2	ZNF257	ZNF581
GPATCH11	RAB2B	TRMT1
QSOX2	CBX6	ECHDC1
CDC20	B4GALT5	METTL17
ZNHIT6	SLU7	TRNP1
BTG3	TOMM70A	CIRBP
TNKS1BP1	PIAS3	MARK2
IMPAD1	RAD51	KIF1B
PXK	WDTC1	MRPL24
TMEM69	SUPV3L1	FHOD3
GPRC5C	CENPL	NANOG
RPS29	HIGD2A	NUP43
PGBD2	ZNF397	PRR11
ADPGK	PDCD6IP	RRM1
PPP2R5E	DHFR	DTX2
TRIM16L	VPS52	SETD5
FAM171A2	PROCR	ZNF18
DEPDC1B	PEX11B	HIST1H4I
AP3M1	PPP1R12A	UQCRC1
ZNF483	ATIC	LHX4
KCTD12	SUGP2	MCC
BEND4	DENND6A	CCDC41
ZNF493	HDAC11	TNFSF11
NSG1	ABCF3	RAB6B
BDH2	WASF3	CNIH2
REL	CDH24	MTHFS
SAPCD2	EDRF1	ZNF146
WDR5	CCNH	TMEM11
HESX1	ADAMTS12	ICK
TTYH2	RPL14	ATAD3A
COX10	WDR54	LIN28A
S100A14	ITGB1BP1	RNF10
MAP2K1	HKR1	ATM
SVIP	DDX18	HIST2H2BF
COX11	SCYL2	NUDT7
POLR3B	SDHC	NUAK1
ULK1	EPRS	RABGAP1
MYO5C	CC2D1B	SWAP70
C16orf62	PURA	PDE3B
DVL3	KIAA0355	CNKSR1
ITGAV	LGI2	PMS1
CASP7	MED13	AKAP13
NMRAL1	PITPNM1	MAGOH
KIAA1468	NUP35	TFE3
PRKAR2B	RBM45	TPR
HSPB1	FAM72D	ETS1
HIST1H3J	ZNF121	RHBDD2
MED13L	SH3BGRL3	NFKBIA
OGG1	C2orf47	LSM14B
C9orf85	RPUSD3	SPAG9
RDH13	LPAR4	DDB1
PKMYT1	ACVR1	B9D1
HLA-F	EXO5	ZFR2
ABHD13	MACC1	LLPH
PRPS2	FAM160B1	HAUS2
WBP1	PILRB	ABCE1
SLC36A1	FGF19	MIPOL1
IFIT5	ZWINT	FBXO5
CRK	SNRPN	TTK
RINT1	PCDH11Y	BPHL
EMC4	RABEP1	ZNF354C
MAPK14	OAZ2	SNX29
LLPH	CNNM3	NUSAP1
PCBP1	FEN1	ATP5F1
ERVMER34-1	ZFP36	FIBP
MFSD12	RAD23A	SBK1
CDK5RAP3	MAGED1	JPH3
ZNF232	GART	FEZ2
IGBP1	MAPKAP1	COA5
CABIN1	URB1	E2F6
STX12	ZNF557	EAPP
IMPDH1	RPLP2	GSPT1
RCN2	PDPN	BRD8
WIPI1	ANKZF1	PHPT1
ANKLE2	TPP1	MCM7
ZNF84	KLHL36	BET1L
TAF1C	HMHA1	GTF2F2
YIF1A	ZNF652	CHST11
BCL9	ATP6V0E2	HS6ST2
CCDC74A	ZFAND6	ZNF217
TMEM128	KDELC2	PSMD8
FBXO45	XRCC4	ZSCAN30
REEP3	MYO9B	C5orf30
SLBP	FCF1	PLXNB1
ZNF775	TTC19	RMI1
DDX39B	CSNK1E	FIP1L1
HN1L	MRPL47	DOCK4
FAM83G	EAF2	SLC48A1
ADRM1	UBE2D4	STRN4
CCT2	OLFM3	SPAG5
NEGR1	HAX1	RFC1
XPO1	ADCY6	CAPZB
UBE2Q1	LAMTOR5	YEATS4
PYCRL	NDUFAB1	TBC1D22B
TOP3A	TRMT10C	LAMA5
DYNC2LI1	KMT2B	C12orf49
PIM2	TMEM63A	KRI1
NCBP2	GAS2L3	ZNF532
HIF1AN	FZD7	PRKAB1
TMEM30B	MORC2	HIST1H3J
ETV3	FAM136A	TMEM2
MED12L	CSNK2A1	DNAJC30
SPATA5L1	NSUN4	TUBA1C
ZBTB44	MCCC1	ZCCHC4
ANTXR1	GRPEL1	HIST1H2BH
THYN1	DUSP12	BAG2
UBTF	HIST1H2AL	ZMYM1
UTP11L	WDR6	FAM110C
BRSK2	MAP4	PDHX
EIF5A2	UHMK1	CAPZA1
FER	C18orf25	MRPS31
KLHL36	IKBKE	RAB11FIP1
HIAT1	TATDN2	PIK3C3
TGFBI	TSPAN5	CWC27
DUSP4	FECH	MRPS24
MRPS28	API5	GLRX
LRSAM1	NDUFS7	KDM7A
UBE2V2	SHQ1	IKBKE
PHF3	C21orf58	CDS2
ATXN10	BRD2	UBE2A
PSMD4	CNFN	IMP3
FXN	CERS4	TRMT44
SNRNP40	TRIM28	NSFL1C
RND2	SLC45A4	MYO10
DALRD3	SEPP1	NDUFS5
SEPT6	MSL2	PSMG3
DOT1L	SMG5	OSBPL6
TRIQK	SLC17A9	TSEN54
B3GNT1	DYDC2	MMP16
RDX	PDSS1	RASGRP2
POLR3A	MORN2	NOVA2
GRAMD1A	DUSP11	PIM2
WDR92	DNM2	CARKD
MFSD3	MTHFS	FAM189A2
TRAFD1	STXBP5L	CHTOP
LRCH4	SFMBT2	DPP8
STARD7	SETBP1	SEMA5B
ZNF358	PLXNA1	CLCN3
ATOX1	USP47	DEPDC7
MAFG	OTUB2	NT5DC1
GCA	C19orf40	CDCA5
MOCS3	SETD5	FAM111A
ZNF682	VPS13C	GJA1
SPICE1	NIPAL1	REXO2
ITFG2	CREB1	PTPLAD1
SLC29A2	SAPCD2	UQCRB
FAM102A	SYNE2	TANC2
BRAT1	ATP5O	CCNE2
HEY2	C1R	ENPP5
RBFOX2	HLA-B	ZIK1
HSF2	LXN	TRNT1
ZNF777	LDHB	TWSG1
G6PC3	SRM	DAB2
INPP4A	CEP70	F2R
SNX10	LPCAT3	UGGT1
RSPO1	LSS	ADPRHL2
EDARADD	TM7SF2	PAICS
RPS15	ZBTB17	APEH
C17orf104	PSTK	ELK4
DGUOK	RPS3	ZNF526
MARK1	SLC35B4	HIST4H4
KIAA0754	BAK1	C8orf37
FBXO9	AP4E1	PBK
FURIN	CCDC74B	TAP1
TM7SF3	CRYGD	SPATA5L1
HDLBP	CCNA2	SETBP1
ZNF227	RBM23	HDHD2
FXR2	RNF146	CTNNBIP1
SMIM20	TMEM182	SPG20
LAMA1	RFC5	ITPA
WDR74	FANCF	TRIM44
MCTP1	ZNF625	LIG4
SNX24	PLS1	SREK1IP1
CDC37	TSGA10	CABYR
METTL10	PSMA5	PATL1
RFK	HECTD3	PRKCA
BEX5	HNRNPA3	HIST1H2BM
FKRP	PGD	NNAT
C16orf91	PVRL3	CENPA
DPM3	DDOST	GNL3L
ZNF205	BAG3	ARMCX3
TRMT44	SSRP1	ZXDC
MAP7D3	TMUB2	COG3
RP11-366L20.2	COIL	TK1
SYNCRIP	DOCK6	TM7SF2
SIL1	ARL6IP6	MTRNR2L11
HMGXB3	POLR3H	KAT5
MICU3	PPP2R2B	CDCA7L
UBXN4	FBL	CYTL1
N4BP2L2	SSX2IP	HINT1
PSMB4	DROSHA	HACE1
TEAD4	DMC1	C6orf132
BTBD2	STX7	DTL
FAM46B	TFAM	MMADHC
RRP1	GAL3ST3	TENM3
BTBD6	GTPBP10	G3BP1
DNAJC27	SDF2	PTPN18
CLDN11	KDM2B	SLC18A2
PTPLA	CTTN	HAGHL
SLC7A3	CLIC4	IARS2
UVSSA	DDX1	CREB3
SFXN5	FRY	GAB2
NMU	RAD54L	ALG10
THOC7	DDX19A	FAM57A
ERGIC3	RPS17	C12orf10
SLC12A8	MKL1	MSANTD4
DTWD1	ASNSD1	SPAST
MAP3K4	EXOC3	UBE3A
HS3ST3B1	TBC1D22B	KAT8
MON1B	ABHD10	SLC6A15
EPPK1	MEGF10	FOXO4
BRI3BP	PFKP	ADK
EIF1B	ZNF69	SETD1B
EZR	GNPDA2	INTS12
ZNF771	ZNF213	ARL16
PHLPP2	GRSF1	SNRPN
C18orf56	RANBP1	PCNXL4
DSEL	ACP1	CSNK1D
SEC11C	FAM20C	CORO1B
QARS	PHF23	N6AMT1
SMARCAL1	EPHB4	PCNXL2
ALCAM	PRPF38B	ELP2
CSDE1	ATP2C1	ARL17A
EBLN2	PPP1R1A	MEN1
ATAD2B	RAB3D	AACS
FAIM	LRRC28	SGTB
TXLNA	FBXO21	GNAZ
UBE2S	RGPD2	ZNF486
SUMF2	ESRP1	OLFML2A
CPSF3	TMEM254	C4orf33
PLEKHB2	COMMD10	COQ7
CHSY1	LRCH4	RABEP1
SMCO4	TIMM21	SLC5A6
LUC7L3	POLR1C	PMEPA1
MRPS21	PHF21B	YY1AP1
ZNF678	ZC3HAV1	ASL
ELK4	SCHIP1	NEMF
HSPA2	TMED4	ELP6
STX3	SLC35F6	NDUFAF2
TBCEL	FAM195B	MOB4
DDX20	ATP5SL	CCDC39
BRIP1	BTF3	NUP88
RAD51D	OCRL	KNOP1
DPYSL5	TROAP	MAST3
AP4S1	IDH1	ZNF765
ATP5G3	CDS2	APOBEC3B
DTX3	CKB	SH2B3
TMEM87A	PDS5B	FAM76B
SLC1A5	ORC2	SP2
EPS8	DDX59	TMEM220
BIN3	KIAA1467	USP21
CRADD	B3GALNT2	ZNF124
ARMCX3	SDHB	MTDH
ESYT2	NOL11	ETAA1
CROCC	COMMD4	HLTF
SMAD5	NARG2	FAM102B
SDK2	STMN3	RPUSD3
SOS1	TMCO6	CKAP2L
RBBP4	TPMT	GAL
AP2A2	IQCG	FBN2
STEAP2	SLC12A8	MRI1
PPP4R1	TOX4	HCN4
SORCS1	USB1	ZNF521
TMEM80	SERF1B	TCF7L2
BCR	DDX23	DGCR2
IFITM3	CERS6	CYP51A1
MIDN	SHROOM3	DBNL
PDGFRL	CCDC14	CEP41
CLCN3	SLC2A1	KRT18
RPRD1B	WDR44	ROGDI
SPEN	POLR2L	USO1
RPS26	ORAI3	C7orf26
TOX4	TRIOBP	WDFY1
UNC13A	LITAF	TOP2B
DPCD	SRGAP2	NUDT5
KCNS3	SHANK3	NEK4
D2HGDH	TRIM11	ENO2
RCBTB2	MCC	SHMT1
ATL1	ID1	FAM172A
PARL	PCNP	NSD1
NSRP1	NUDT6	LARS
BPGM	EFNA2	KBTBD2
STON2	AUH	MAP9
LINS	PYCARD	PTK7
GPR153	CDK1	GNG7
C16orf70	CYR61	VPS41
DNAJB12	CYB5R1	SCAND1
CYP20A1	TBC1D17	ASF1B
COQ10A	MRI1	THBS1
MED23	ZNF76	RP11-849H4.2
RPRD2	TBC1D7	TIPARP
SLC35D1	H2AFV	SPATA33
SDHD	MFSD8	JAM3
API5	GPRC5C	PTTG1
CDA	RWDD2A	TOP3A
CDK12	PLAA	UBE4A
SUB1	PDZRN3	VDAC1
PLCD3	RPS15	SSBP3
GTF2E1	NPLOC4	GTF2IRD1
ADAM15	DRG2	DNAJC7
PLA2G15	NAP1L3	CHEK2
PIK3R3	BCL9	MXRA7
CSE1L	TYW5	TBC1D8B
DNAJB4	FABP3	ANAPC10
KMT2B	FANCM	GBE1
SPATS2L	COG7	KDM5A
CALM1	PARG	RPL8
C18orf8	LIMK1	PFKM
COIL	ZDHHC9	SPINT1
MRPL11	COTL1	DLGAP1
RP11-195F19.5	RBPMS2	DCAF13
ANKDD1A	ATN1	SLC25A39
MAP3K9	KB-1507C5.2	TAF9B
ITLN2	SMARCA4	SP4
PUM2	HSPA5	CCDC85C
TSNAX	NUPL2	HEXB
TPD52L2	AEBP1	SAMM50
PLCH1	RPF1	BCKDHB
TBCD	L3HYPDH	PPP1R1B
FAM195B	FABP7	TCEAL6
TMEM68	ANLN	IRS1
NCAPG2	LIN7A	SORCS1
SEC61G	NEK4	MRPL2
HAUS7	DIXDC1	ZNF776
HEATR2	BRI3BP	LRRC59
WWC3	GPR173	GRINA
NUDCD1	B3GNT1	LRP8
PSMB8	RPRD1B	MOB1A
SCYL1	ZNF682	TRIM2
PRDM4	ZNF334	PAIP2
FAM175A	NXF1	GSTK1
RHBDD1	ESRP2	ZFAND2A
NXPE3	SIRT7	ADCYAP1R1
FKBP9	CTC1	UBE2S
HACL1	ADAM9	GGPS1
LOXL2	HDDC3	RPEL1
RHOH	MKLN1	GGCT
TIGD2	MADD	EIF4EBP3
C9orf72	LMBR1L	KIAA0020
MRPL47	DNAJC21	EEA1
SMARCA2	FAM102A	RAD21
NSD1	RPS25	TUBD1
ZNF439	NUDT4	UBE2G1
ILF3	VPS45	PDZD2
ZC3HC1	UBL7	RASSF4
N6AMT1	L3MBTL2	BEND3
GRB14	TAGLN2	TSPAN12
TRIM37	ORMDL1	SURF6
UQCR11	CHST14	ANXA3
CNTROB	TBC1D22A	HSD17B11
TXNL1	GIN1	ANKRD50
HSPE1	SNRPA1	CACNA2D3
MMP24	ALG2	RAC3
ZNF397	PARVA	ZBED5
KLHL42	SEC24B	TEX261
NTS	KRAS	ORC6
USP1	MARC1	B3GAT1
R3HDM4	ARRDC3	MORF4L1
C12orf75	PVRL2	MRPS21
TPRKB	SPC24	C1orf106
ZNF470	NUDT14	CCDC84
TCF12	KLHDC7A	ECH1
ATP6V0A2	KDM5D	COX19
ATPIF1	CARD10	EIF2B2
ERCC8	PABPC1L	CCDC34
TRIB3	SLIRP	FSTL1
MVB12A	PPP1R26	TMEM37
VAPA	VANGL2	GPKOW
ZNF726	LRRC4	GATC
ZRANB2	SOD2	ABCB10
KPTN	GBA	THOC6
PALM3	TRPC4	FBL
KIF11	CARD8	NR1H3
NRSN2	NOTCH2	PTPN21
ENSA	CABLES2	GTF3C1
CRYAB	FGD5	NKRF
ANP32B	PDP1	AKR1B1
PLCB2	STK36	CCNG1
HIST1H2AK	MARVELD3	MOB3B
